paper,subject,trial_number,trial_looking_time,age_in_days
brandone_2009,brandone_2009.1.1_successfulreaching8.915,1,12.8,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.915,2,22.5,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.915,3,17.5,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.915,4,15.9,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.915,5,13.9,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.915,6,14.3,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.915,7,10.4,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.915,8,10.4,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.915,9,25.5,237.4
brandone_2009,brandone_2009.1.1_successfulreaching8.921,1,18,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.921,2,16.6,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.921,3,17.2,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.921,4,32.7,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.921,5,16.5,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.921,6,11.8,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.921,7,11.5,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.921,8,10.7,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.921,9,10.6,242.5
brandone_2009,brandone_2009.1.1_successfulreaching8.908,1,24.1,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.908,2,23.5,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.908,3,24.9,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.908,4,13.5,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.908,5,12.9,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.908,6,12.6,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.901,1,21.5,244.5
brandone_2009,brandone_2009.1.1_successfulreaching8.901,2,23.3,244.5
brandone_2009,brandone_2009.1.1_successfulreaching8.901,3,29,244.5
brandone_2009,brandone_2009.1.1_successfulreaching8.901,4,13.9,244.5
brandone_2009,brandone_2009.1.1_successfulreaching8.901,5,14,244.5
brandone_2009,brandone_2009.1.1_successfulreaching8.901,6,11.4,244.5
