subject,trial_number,trial_type,trial_looking_time,agedays,complexity
brandone_2009.1.1_control10.176,7,deviant,11.43,304.4,complex
brandone_2009.1.1_control10.124,11,deviant,2.78,277.3,complex
brandone_2009.1.1_control10.126,7,deviant,2.67,305.6,complex
brandone_2009.1.1_control10.128,11,deviant,9.83,282.8,complex
brandone_2009.1.1_control10.114,11,deviant,16.63,307.1,complex
brandone_2009.1.1_control10.106,9,deviant,3.95,280.7,complex
brandone_2009.1.1_control10.173,11,deviant,2.72,308.7,complex
brandone_2009.1.1_control10.113,11,deviant,6.4,305.6,complex
brandone_2009.1.1_control10.119,8,deviant,3.15,277.3,complex
brandone_2009.1.1_control10.116,7,deviant,4.68,280.7,complex
brandone_2009.1.1_control10.105,11,deviant,8.62,309.9,complex
brandone_2009.1.1_control10.175,11,deviant,5.03,306.2,complex
brandone_2009.1.1_control10.117,11,deviant,17.48,280,complex
brandone_2009.1.1_control10.121,11,deviant,5.92,281.9,complex
brandone_2009.1.1_control10.122,11,deviant,8.8,281.6,complex
brandone_2009.1.1_control10.149,7,deviant,9.77,306.5,complex
brandone_2009.1.1_control10.104,11,deviant,10.28,281,complex
brandone_2009.1.1_control10.174,7,deviant,11.05,308.1,complex
brandone_2009.1.1_control12.139,11,deviant,2.07,340.6,complex
brandone_2009.1.1_control12.165,11,deviant,2.85,341.8,complex
brandone_2009.1.1_control12.147,11,deviant,2.05,343.4,complex
brandone_2009.1.1_control12.154,8,deviant,9.25,342.1,complex
brandone_2009.1.1_control12.157,11,deviant,1.57,368.6,complex
brandone_2009.1.1_control12.140,10,deviant,12.88,343.4,complex
brandone_2009.1.1_control12.142,11,deviant,11.37,341.8,complex
brandone_2009.1.1_control12.143,11,deviant,3.45,369.5,complex
brandone_2009.1.1_control12.159,11,deviant,1.75,367.7,complex
brandone_2009.1.1_control12.158,7,deviant,1.78,339.1,complex
brandone_2009.1.1_control12.130,9,deviant,2.53,341.8,complex
brandone_2009.1.1_control12.103,11,deviant,8.7,371.1,complex
brandone_2009.1.1_control12.156,11,deviant,7.08,369.8,complex
brandone_2009.1.1_control12.144,11,deviant,6.58,367.4,complex
brandone_2009.1.1_control12.162,7,deviant,1.57,368.3,complex
brandone_2009.1.1_control12.163,11,deviant,2.1,340.9,complex
brandone_2009.1.1_control12.150,11,deviant,7.07,340.6,complex
brandone_2009.1.1_control12.146,11,deviant,11.35,367.7,complex
brandone_2009.1.1_control12.168,11,deviant,8.03,338.5,complex
brandone_2009.1.1_control12.58,11,deviant,5.1,340.3,complex
brandone_2009.1.1_control12.153,8,deviant,6.07,340.6,complex
brandone_2009.1.1_control12.135,11,deviant,14.03,369.8,complex
brandone_2009.1.1_control12.131,11,deviant,10.7,340,complex
brandone_2009.1.1_control12.145,11,deviant,2.35,368.6,complex
choi_2018.1.1_twoobject.1,7,deviant,9.5,130.8,complex
choi_2018.1.1_twoobject.2,7,deviant,42.8,89.9,complex
choi_2018.1.1_twoobject.3,7,deviant,6.6,81.9,complex
