subject,dishab_trial_num,dishab_diff,agedays,complexity,sd_volatility,mad_volatility,cv_volatility,range_volatility,mad_robust_volatility,garch_volatility,decay_rate,decay_rates_random,group,age_in_months,age
brandone_2009.1.1_successfulreaching12.3,7,1.2488233704912874,365.6,complex,3.3381337101240667,2.223888888888889,0.7712284274449134,8.82,0.7799999999999998,0.9261049815971151,-0.38853515999245347,-0.04752031327483044,infants,NA,NA
brandone_2009.1.1_successfulreaching12.8,7,0.8646488232247507,340.9,complex,2.923938553845936,2.094444444444444,0.6529077529987203,7.85,0.5750000000000002,0.9638370818240102,-0.38631325726575116,-0.04795967870478782,infants,NA,NA
brandone_2009.1.1_successfulreaching12.9,11,-0.16541108464563803,341.8,complex,2.0503051263436647,1.7227999999999997,0.35095945332825484,5.300000000000001,0.8000000000000003,1.5777589141190371,-0.348107970148298,-0.04626162982653822,infants,NA,NA
brandone_2009.1.1_successfulreaching12.15,7,-0.07445297819474972,366.8,complex,4.976286768264063,3.706666666666667,0.694527113505103,13.899999999999999,2.1900000000000004,4.275941495633651,-0.348386393819431,-0.06330855152841346,infants,NA,NA
brandone_2009.1.1_successfulreaching12.17,8,-0.36953309888210106,341.2,complex,4.414443825185035,3.4730612244897956,0.5887046442426223,12.209999999999999,3,NA,-0.3362836684864015,-0.07380186562645003,infants,NA,NA
brandone_2009.1.1_successfulreaching12.56,11,0.4356958812239289,343.4,complex,2.485218747358514,1.9043999999999996,0.2802772919091591,8.2,1.9399999999999986,2.4890688284370683,-0.28971259897375945,-0.0632798803606424,infants,NA,NA
brandone_2009.1.1_successfulreaching12.63,11,-0.5437767239056766,368.3,complex,5.970092219648798,5.527,0.6203982354410058,15.450000000000001,5.365,4.249032172076438,-0.2975626875441949,0.03699999334095799,infants,NA,NA
brandone_2009.1.1_successfulreaching12.41,8,0.7402352166588471,340.9,complex,4.976931546550306,4.095102040816327,0.5103797366811038,12.059999999999999,0.8000000000000007,3.5605253847935607,-0.3020006867572777,-0.08625093679106494,infants,NA,NA
brandone_2009.1.1_successfulreaching12.67,11,0.018484814674103234,371.7,complex,2.8819994988047988,2.1228,0.2568398091796452,8.13,1.1549999999999994,1.8899985631776772,-0.24034177338209783,-0.007166586956279086,infants,NA,NA
brandone_2009.1.1_successfulreaching12.70,10,-0.042559614418795966,368.9,complex,5.962128628080559,4.925925925925926,0.5278815312614367,16.68,1.7800000000000011,3.9479392436490826,-0.2447753201469473,-0.09340273792938991,infants,NA,NA
brandone_2009.1.1_successfulreaching12.5,11,0.04390279796526375,343.7,complex,3.3072581796204945,2.6276,0.2915682076717354,10.02,2.7899999999999996,2.991506553688441,-0.24182759334282444,-0.07867075973123099,infants,NA,NA
brandone_2009.1.1_successfulreaching12.64,11,0.13667769831388776,343.1,complex,4.893224453829555,3.553,0.4191916777032087,18.49,2.6550000000000002,4.298369665660197,-0.21923315378203342,-0.031222066260023468,infants,NA,NA
brandone_2009.1.1_successfulreaching12.12,11,-0.11922212374445085,372,complex,3.035744279963866,2.1443999999999996,0.25577085516588305,9.509999999999998,0.8849999999999998,2.5195866333672003,-0.22910760201339703,-0.031168815764265057,infants,NA,NA
